INSEE;ZRR
1355;0
1356;0
1357;0
1358;0
1359;0
1360;0
1361;0
1362;0
1363;0
1364;1
1365;0
1366;0
1367;1
1368;0
1369;0
1370;0
1371;0
1372;0
1373;0
1374;0
1375;0
1376;0
1378;0
1379;0
1380;1
1381;0
1382;0
1383;0
1384;0
1385;0
1386;0
1387;0
1388;1
1389;0
1390;0
1391;0
1392;0
1393;0
1396;0
1397;0
1398;0
1399;0
1400;0
1401;0
1402;0
1403;0
1404;0
1405;0
1406;1
1407;0
1408;0
1410;0
1411;0
1412;0
1415;0
1416;0
1418;0
1419;0
1420;0
1421;0
1422;0
1423;0
1424;0
1425;0
1426;0
1427;0
1428;0
1429;0
1430;0
1431;0
1432;0
1433;1
1434;0
1435;0
1436;0
1437;1
1439;0
1441;1
1443;0
1444;0
1445;0
1446;0
1447;0
1448;0
1449;0
1450;0
1451;0
1452;0
1453;0
1454;0
1456;0
1457;0
2001;0
2002;0
2003;0
2004;1
2005;1
2006;1
2007;1
2008;0
2009;1
2010;0
2011;0
2012;1
2013;1
2014;0
2015;0
2016;0
2017;0
2018;1
2019;0
2020;1
2021;1
2022;1
2023;1
2024;0
2025;0
2027;1
2028;0
2029;0
2030;0
2031;1
2032;0
2033;1
2034;0
2035;1
2036;0
2037;0
2038;1
2039;1
2040;1
2041;0
2042;1
2043;0
2044;1
2046;1
2047;1
2048;1
2049;1
2050;1
2051;1
2052;1
2053;1
2054;0
2055;1
2056;0
2057;0
2058;1
2059;0
2060;0
2061;0
2062;1
2063;0
2064;0
2065;0
2066;1
2067;1
2068;1
2069;1
2070;1
2071;0
2072;1
2073;1
2074;0
2075;1
2076;1
2077;0
2078;1
2079;1
2080;0
2081;0
2082;1
2083;1
2084;0
2085;1
2086;0
2087;0
2088;0
2089;0
2090;1
2091;0
2093;1
2094;1
2095;0
2096;1
2097;1
2098;1
2099;1
2100;0
2101;1
2102;1
2103;1
2104;1
2105;1
2106;1
2107;1
2108;1
2109;1
2110;0
2111;1
2112;0
2114;1
2115;1
2116;1
2117;0
2118;0
2119;1
2120;0
2121;1
2122;0
2123;1
2124;1
2125;1
2126;1
2127;1
2128;0
2129;0
2130;1
2131;0
2132;0
2133;1
2134;1
2135;1
2136;1
2137;1
2138;1
2139;0
2140;1
2141;1
2142;0
2143;0
2144;0
2145;0
2146;1
2148;0
2149;1
2150;1
2151;0
2152;0
2153;0
2154;1
2155;1
2156;1
2157;0
2158;1
2159;1
2160;1
2162;0
2163;0
2164;1
2165;0
2166;1
2167;0
2168;1
2169;1
2170;1
2171;1
2172;1
2173;0
2174;0
2175;0
2176;0
2177;0
2178;1
2179;0
2180;1
2181;1
2182;1
2183;1
2184;1
2185;1
2186;0
2187;1
2188;1
2189;1
2190;0
2191;0
2192;0
2193;1
2194;1
2195;0
2196;0
2197;1
2198;0
2199;0
2200;1
2201;0
2203;1
2204;1
2205;1
2206;1
2207;0
2208;1
2209;1
2210;0
2211;1
2212;0
2213;1
2214;0
2215;1
2216;0
2217;1
2218;1
2219;1
2220;1
2221;0
2222;0
2223;1
2224;0
2225;1
2226;0
2227;1
2228;1
2229;1
2230;0
2231;1
2232;0
2233;1
2234;1
2235;1
2236;1
2237;1
2238;0
2239;1
2240;0
2241;1
2242;0
2243;0
2244;1
2245;0
2246;0
2248;1
2249;1
2250;1
2251;1
2252;1
2253;0
2254;0
2255;0
2256;1
2257;0
2258;0
2259;0
2260;0
2261;1
2262;0
2263;0
2264;1
2265;1
2266;1
2267;0
2268;0
2269;1
2270;0
2271;1
2272;1
2273;0
2274;1
2275;1
2276;1
2277;0
2278;1
2279;1
2280;1
2281;0
2282;0
2283;1
2284;1
2286;1
2287;1
2288;0
2289;0
2290;1
2291;0
2292;1
2293;0
2294;0
2295;1
2296;0
2297;1
2298;1
2299;1
2302;0
2303;0
2304;0
2305;1
2306;1
2307;0
2308;1
2309;0
2310;0
2311;0
2312;1
2313;1
2315;0
2316;0
2317;0
2318;1
2319;0
2320;0
2321;1
2322;0
2323;0
2324;1
2326;0
2327;0
2328;1
2329;0
2330;0
2331;1
2332;1
2333;1
2334;0
2335;0
2336;0
2337;1
2338;1
2339;1
2340;0
2341;1
2342;1
2343;0
2345;1
2346;1
2347;1
2349;1
2350;1
2351;1
2352;0
2353;1
2354;1
2355;0
2356;1
2357;1
2358;1
2359;0
2360;1
2361;1
2362;0
2363;1
2364;1
2366;1
2367;0
2368;0
2369;1
2370;0
2371;0
2372;1
2373;1
2374;0
2375;1
2376;1
2377;1
2378;1
2379;1
2380;1
2381;1
2382;0
2383;0
2384;1
2385;1
2386;1
2387;1
2388;1
2389;1
2390;0
2391;1
2392;0
2393;0
2395;1
2396;1
2397;0
2398;0
2399;1
2400;0
2401;1
2402;0
2403;1
2404;1
2405;1
2406;1
2407;0
2408;0
2409;1
2410;0
2411;1
2412;1
2413;0
2414;1
2415;0
2416;1
2417;0
2418;1
2419;1
2420;0
2421;0
2422;1
2423;1
2424;0
2425;1
2426;0
2427;0
2428;1
2429;1
2430;1
2431;0
2432;0
2433;1
2435;1
2438;0
2439;0
2440;1
2441;0
2442;1
2443;0
2444;1
2445;1
2446;1
2447;1
2448;1
2449;0
2450;1
2451;0
2452;0
2453;1
2454;1
2455;1
2456;0
2457;1
2458;1
2459;0
2460;1
2461;0
2462;1
2463;1
2464;0
2465;0
2466;0
2467;0
2468;1
2469;1
2470;1
2471;1
2472;1
2473;0
2474;0
2476;1
2477;0
2478;1
2480;1
2481;0
2482;1
2483;1
2484;1
2485;0
2486;1
2487;0
2488;1
2489;0
2490;0
2491;1
2492;0
2493;1
2494;1
2495;1
2496;0
2497;0
2498;1
2499;1
2500;0
2501;0
2502;1
2503;1
2504;0
2505;0
2506;0
2507;1
2508;1
2509;1
2510;1
2511;0
2512;1
2513;1
2514;0
2515;1
2516;1
2517;1
2518;1
2519;1
2520;0
2521;0
2522;1
2523;0
2524;1
2525;0
2526;1
2527;0
2528;0
2529;1
2530;1
2531;1
2532;1
2533;1
2534;1
2535;1
2536;1
2537;0
2538;1
2539;0
2540;1
2541;1
2542;0
2543;1
2544;1
2545;1
2546;0
2547;1
2548;1
2549;0
2550;1
2551;0
2552;1
2553;1
2554;1
2555;0
2556;1
2557;0
2558;1
2559;1
2560;1
2561;0
2562;0
2563;1
2564;0
2565;1
2566;0
2567;1
2568;0
2569;1
2570;0
2571;0
2572;1
2573;0
2574;1
2575;1
2576;0
2577;0
2578;1
2579;1
2580;1
2581;0
2582;1
2583;1
2584;1
2585;1
2586;1
2587;0
2588;1
2589;0
2590;1
2591;1
2592;1
2593;0
2594;0
2595;1
2596;0
2598;0
2599;0
2600;1
2601;1
2602;1
2604;0
2605;1
2606;1
2607;0
2608;1
2609;1
2610;0
2612;0
2613;1
2614;0
2615;0
2616;1
2617;1
2618;0
2619;1
2620;0
2621;0
2622;1
2623;1
2624;1
2625;1
2626;1
2627;1
2628;0
2629;1
2631;0
2632;1
2633;0
2634;1
2635;0
2636;1
2637;0
2638;1
2639;1
2640;1
2641;1
2642;1
2643;0
2644;0
2645;1
2647;1
2648;1
2649;1
2650;1
2651;0
2652;1
2653;0
2654;1
2655;1
2656;1
2657;1
2658;0
2659;0
2660;1
2661;1
2662;1
2663;1
2664;1
2665;1
2666;1
2667;0
2668;1
2670;1
2671;1
2672;0
2673;0
2674;1
2675;1
2676;1
2677;1
2678;1
2679;1
2680;0
2681;1
2682;0
2683;1
2684;1
2685;0
2686;1
2687;0
2688;1
2689;1
2690;1
2691;0
2693;1
2694;0
2695;0
2696;1
2697;0
2698;0
2699;1
2701;0
2702;0
2703;0
2704;1
2705;1
2706;0
2707;1
2708;0
2709;0
2710;0
2711;0
2712;1
2713;1
2714;0
2715;0
2716;0
2717;1
2718;0
2719;0
2720;1
2721;1
2722;0
2723;1
2724;1
2725;1
2726;0
2727;1
2728;1
2729;0
2730;0
2731;1
2732;1
2734;0
2735;0
2736;0
2737;1
2738;0
2739;0
2740;1
2741;1
2742;1
2743;1
2744;1
2745;1
2746;0
2747;0
2748;1
2749;0
2750;1
2751;1
2752;0
2753;1
2754;0
2755;1
2756;1
2757;1
2758;0
2759;1
2760;1
2761;1
2762;0
2763;0
2764;1
2765;0
2766;0
2767;0
2768;1
2769;1
2770;0
2772;0
2773;0
2774;0
2775;1
2776;0
2777;0
2778;1
2779;1
2780;0
2781;1
2782;0
2783;1
2784;1
2785;0
2786;1
2787;1
2788;0
2789;1
2790;1
2791;0
2792;0
2793;0
2794;1
2795;0
2796;1
2797;0
2798;0
2799;1
2800;1
2801;1
2802;1
2803;1
2804;1
2805;0
2806;1
2807;0
2808;0
2809;1
2810;0
2812;0
2813;1
2814;1
2815;0
2816;1
2817;0
2818;0
2819;1
2820;0
2821;0
2822;0
2823;1
2824;0
2826;1
2827;1
2828;0
2829;0
2830;1
2831;1
2832;1
2833;1
2834;1
3001;0
3002;1
3003;1
3004;1
3005;1
3006;1
3007;1
3008;1
3009;1
3010;1
3011;1
3012;1
3013;1
3014;1
3015;1
3016;1
3017;1
3018;1
3019;1
3020;1
3021;1
3022;1
3023;0
3024;1
3025;1
3026;1
3027;1
3028;1
3029;0
3030;1
3031;1
3032;1
3033;0
3034;1
3035;1
3036;1
3037;1
3038;1
3039;1
3040;1
3041;1
3042;1
3043;1
3044;0
3045;0
3046;1
3047;1
3048;1
3049;1
3050;1
3051;1
3052;1
3053;1
3054;1
3055;1
3056;1
3057;1
3058;1
3059;1
3060;0
3061;1
3062;1
3063;1
3064;1
3065;1
3066;1
3067;1
3068;1
3069;1
3070;1
3071;1
3072;1
3073;1
3074;1
3075;1
3076;1
3077;1
3078;1
3079;1
3080;0
3081;1
3082;1
3083;1
3084;1
3085;1
3086;1
3087;1
3088;1
3089;1
3090;1
3091;1
3092;1
3093;0
3094;0
3095;0
3096;1
3097;1
3098;0
3099;1
3100;1
3101;0
3102;1
3103;1
3104;1
3105;1
3106;1
3107;1
3108;1
3109;1
3110;0
3111;1
3112;1
3113;1
3114;1
3115;1
3116;1
3117;1
3118;1
3119;1
3120;1
3121;1
3122;1
3124;1
3125;1
3126;0
3127;1
3128;1
3129;1
3130;1
3131;1
3132;1
3133;1
3134;1
3135;1
3136;0
3137;1
3138;1
3139;1
3140;0
3141;1
3142;1
3143;1
3144;1
3145;0
3146;1
3147;1
3148;1
3149;1
3150;1
3151;1
3152;1
3154;1
3155;1
3156;1
3157;0
3158;1
3159;1
3160;1
3161;1
3162;1
3163;0
3164;1
3165;1
3166;1
3167;1
3168;1
3169;1
3170;1
3171;1
3172;1
3173;1
3174;1
3175;1
3176;1
3177;1
3178;1
3179;1
3180;1
3181;1
3182;1
3183;1
3184;1
3185;0
3186;1
3187;1
3188;1
3189;1
3190;1
3191;1
3192;1
3193;1
3194;1
3195;1
3196;1
3197;1
3198;1
3200;1
3201;1
3202;1
3203;1
3204;1
3205;1
3206;1
3207;1
3208;1
3209;1
3210;1
3211;0
3212;0
3213;1
3214;1
3215;1
3216;1
3217;1
3218;1
3219;1
3220;1
3221;1
3222;1
3223;1
3224;1
3225;1
3226;1
3227;1
3228;1
3229;1
3230;1
3231;1
3232;1
3233;1
3234;1
3235;1
3236;0
3237;1
3238;1
3239;1
3240;1
3241;1
3242;1
3243;1
3244;1
3245;1
3246;1
3247;1
3248;1
3249;1
3250;1
3251;1
3252;1
3253;1
3254;1
3255;1
3256;1
3257;1
3258;0
3259;1
3260;1
3261;1
3262;0
3263;1
3264;0
3265;1
3266;1
3267;1
3268;1
3269;1
3270;1
3271;0
3272;1
3273;0
3274;1
3275;1
3276;1
3277;1
3278;1
3279;0
3280;1
3281;1
3282;1
3283;1
3284;1
3285;1
3286;1
3287;1
3288;1
3289;1
3290;1
3291;1
3292;1
3293;1
3294;1
3295;1
3296;1
3297;1
3298;1
3299;1
3300;1
3301;1
3302;1
3303;1
3304;0
3305;1
3306;0
3307;1
3308;1
3309;1
3310;0
3311;1
3312;1
3313;1
3314;1
3315;1
3316;1
3317;1
3319;1
3320;1
3321;1
4001;1
4004;1
4005;1
4006;1
4007;1
4008;1
4009;1
4012;1
4013;0
4016;1
4017;1
4018;1
4019;1
4020;1
4021;1
4022;1
4023;1
4024;1
4025;1
4026;1
4027;1
4028;1
4030;1
4031;1
4032;1
4033;1
4034;0
4035;1
4036;1
4037;1
4039;1
4040;1
4041;1
4042;1
4043;1
4045;1
4046;1
4047;1
4049;1
4050;1
4051;1
4053;0
4054;1
4055;1
4057;1
4058;1
4059;1
4061;1
4062;1
4063;0
4065;1
4066;1
4067;1
4068;1
4069;1
4070;1
4072;1
4073;1
4074;1
4075;1
4076;1
4077;1
4079;1
4081;1
4084;1
4085;1
4086;1
4087;1
4088;1
4090;1
4091;1
4092;1
4093;1
4094;1
4095;1
4096;1
4097;1
4099;1
4101;1
4102;1
4104;1
4106;1
4107;1
4108;1
4109;1
4110;1
4111;1
4112;0
4113;1
4115;1
4116;1
4118;1
4120;1
4121;1
4122;1
4123;1
4124;1
4126;1
4127;0
4128;0
4129;1
4130;1
4132;1
4133;1
4134;1
4135;1
4136;1
4137;1
4138;1
4139;1
4140;1
4141;1
4142;1
4143;0
4144;1
4145;0
4148;1
4149;1
4150;1
4151;1
4152;0
4154;1
4155;1
4156;1
4157;1
4158;1
4159;1
4160;1
4161;1
4162;1
4163;1
4164;1
4166;1
4167;1
4169;1
4170;1
4171;1
4172;1
4173;1
4174;1
4175;1
4176;1
4177;1
4178;1
4179;1
4180;1
4181;1
4182;1
4183;1
4184;1
4186;1
4187;1
4188;1
4189;1
4190;1
4191;1
4192;1
4193;1
4194;1
4195;1
4197;0
4199;1
4200;0
4201;1
4202;1
4203;1
4204;1
4205;1
4206;1
4207;1
4208;1
4209;1
4210;1
4211;0
4214;1
4216;1
4217;1
4218;1
4219;1
4220;1
4222;1
4224;1
4226;1
4227;1
4228;1
4229;1
4230;1
4231;1
4233;1
4234;1
4235;1
4236;1
4237;1
4240;1
4241;1
4242;0
4244;1
4245;0
5001;1
5003;1
5004;1
5006;1
5007;1
5008;1
5009;1
5010;1
5011;1
5012;0
5013;1
5014;1
5016;1
5017;1
5018;1
5019;1
5021;1
5022;1
5023;1
5024;1
5025;1
5026;1
5027;1
5028;1
5029;1
5031;1
5032;1
5033;1
5035;1
5036;0
5037;1
5038;1
5039;1
5040;1
5044;0
5045;0
5046;0
5047;1
5048;1
5049;1
5050;1
5051;1
5052;0
5053;1
5054;1
5055;1
5056;1
5057;1
5058;1
5059;1
5060;1
5061;0
5062;1
5063;1
5064;1
5065;0
5066;1
5068;1
5070;1
5071;1
5072;1
5073;1
5074;1
5075;1
5076;1
5077;1
5078;1
5079;1
5080;1
5081;1
5082;0
5084;1
5085;1
5086;1
5087;1
5089;1
5090;1
5091;1
5092;1
5093;1
5094;1
5095;1
5096;1
5097;1
5098;0
5099;1
5100;1
5101;1
5102;1
5103;1
5104;1
5106;1
5107;1
5108;1
5109;0
5110;1
5111;1
5112;1
5113;1
5114;1
5115;1
5116;0
5117;1
5118;1
5119;0
5121;1
5122;1
5123;1
5124;1
5126;1
5127;1
5128;0
5129;1
5130;1
5131;1
5132;1
5133;1
5134;0
5135;1
5136;0
5139;1
5140;1
5142;1
5144;1
5145;1
5146;1
5147;1
5148;1
5149;1
5151;1
5152;1
5153;1
5154;1
5155;1
5156;0
5157;1
5158;1
5159;1
5160;1
5161;1
5162;1
5163;1
5164;1
5165;1
5166;1
5167;1
5168;1
5169;1
5170;1
5171;1
5172;1
5173;1
5174;1
5176;1
5177;0
5178;1
5179;1
5180;1
5181;1
5182;1
5183;1
5184;1
6001;1
6002;1
6003;1
6004;0
6005;1
6006;0
6007;0
6008;1
6009;0
6010;0
6011;0
6012;0
6013;1
6014;0
6015;0
6016;1
6017;0
6018;0
6019;0
6020;1
6021;0
6022;0
6023;0
6024;1
6025;0
6026;0
6027;0
6028;1
6029;0
6030;0
6031;0
6032;0
6033;0
6034;0
6035;0
6036;0
6037;0
6038;0
6039;0
6040;1
6041;0
6042;0
6043;0
6044;0
6045;1
6046;0
6047;0
6048;0
6049;0
6050;0
6051;1
6052;1
6053;1
6054;0
6055;0
6056;1
6057;0
6058;1
6059;0
6060;0
6061;0
6062;0
6063;1
6064;0
6065;0
6066;0
6067;0
6068;0
6069;0
6070;0
6071;1
6072;0
6073;1
6074;0
6075;0
6076;1
6077;0
6078;1
6079;0
6080;0
6081;1
6082;1
6083;0
6084;0
6085;0
6086;0
6087;1
6088;0
6089;0
6090;0
6091;0
6092;0
6093;1
6094;1
6095;0
6096;1
6097;1
6098;1
6099;1
6100;1
6101;1
6102;0
6103;1
6104;0
6105;0
6106;1
6107;0
6108;0
6109;0
6110;0
6111;0
6112;0
6113;0
6114;0
6115;1
6116;1
6117;0
6118;0
6119;1
6120;1
6121;0
6122;0
6123;0
6124;1
6125;1
6126;0
6127;1
6128;0
6129;0
6130;0
6131;1
6132;0
6133;1
6134;1
6135;1
6136;0
6137;0
6138;0
6139;1
6140;0
6141;1
6142;0
6143;1
6144;0
6145;1
6146;0
6147;0
6148;0
6149;0
6150;0
6151;0
6152;0
6153;0
6154;1
6155;0
6156;1
6157;0
6158;1
6159;0
6160;1
6161;0
6162;0
6163;0
7001;1
7002;0
7003;0
7004;1
7005;0
7006;1
7007;1
7008;0
7009;0
7010;0
7011;0
7012;1
7013;0
7014;1
7015;0
7017;1
7018;1
7019;0
7020;0
7022;0
7023;1
7024;1
7025;1
7026;1
7027;0
7028;1
7029;1
7030;1
7031;1
7032;1
7033;1
7034;0
7035;1
7036;0
7037;1
7038;1
7039;1
7040;0
7041;0
7042;0
7044;0
7045;1
7047;1
7048;1
7049;1
7050;1
7051;0
7052;1
7053;1
7054;1
7055;0
7056;0
7058;1
7059;0
7060;1
7061;1
7062;1
7063;0
7064;1
7065;1
7066;0
7067;0
7068;0
7069;1
7070;0
7071;1
7072;0
7073;1
7074;0
7075;1
7076;0
7077;1
7078;0
7079;1
7080;1
7081;1
7082;1
7083;1
7084;0
7085;1
7086;0
7087;1
7088;1
7089;0
7090;0
7091;0
7092;0
7093;1
7094;1
7095;1
7096;1
7097;0
7098;1
7099;0
7100;1
7101;1
7102;0
7103;1
7104;1
7105;1
7106;1
7107;1
7108;1
7109;1
7110;1
7111;0
7112;0
7113;1
7114;1
7115;1
7116;0
7117;1
7118;1
7119;1
7120;1
7121;1
7122;0
7123;1
7124;1
7126;1
7127;1
7128;1
7129;1
7130;1
7131;1
7132;1
7133;0
7134;1
7136;1
7137;1
7138;1
7139;0
7140;0
7141;0
7142;1
7143;0
7144;1
7145;1
7146;0
7147;1
7148;1
7149;1
7150;1
7151;1
7152;0
7153;1
7154;1
7155;0
7156;1
7157;0
7158;0
7159;1
7160;0
7161;1
7162;1
7163;1
7165;1
7166;1
7167;1
7168;1
7169;0
7170;1
7171;1
7172;0
7173;1
7174;0
7175;1
7176;1
7177;0
7178;1
7179;0
7181;0
7182;1
7183;1
7184;1
7185;1
7186;0
7187;1
7188;0
7189;1
7190;1
7191;0
7192;1
7193;1
7194;0
7195;1
7196;1
7197;0
7198;0
7199;1
7200;1
7201;1
7202;1
7203;1
7204;1
7205;1
7206;1
7207;1
7208;1
7209;1
7210;1
7211;1
7212;1
7213;1
7214;1
7215;1
7216;1
7217;0
7218;1
7219;0
7220;1
7221;0
7222;1
7223;1
7224;1
7225;0
7226;1
7227;0
7228;0
7229;0
7230;1
7231;0
7232;1
7233;1
7234;0
7235;1
7236;1
7237;0
7238;1
7239;1
7240;0
7241;1
7242;1
7243;0
7244;1
7245;0
7247;1
7248;1
7249;1
7250;1
7251;1
7253;1
7254;0
7255;0
7257;1
7258;0
7259;0
7260;0
7261;0
7262;1
7263;1
7264;0
7265;0
7266;1
7267;1
7268;0
7269;1
7270;0
7272;1
7273;1
7274;1
7275;1
7276;1
7277;1
7278;1
7279;0
7280;1
7281;0
7282;1
7283;0
7284;1
7285;1
7286;1
7287;1
7288;0
7289;0
7290;1
7291;1
7292;1
7293;1
7294;1
7295;1
7296;0
7297;1
7298;0
7299;1
7300;0
7301;1
7302;0
7303;1
7304;1
7305;1
7306;1
7307;1
7308;0
7309;1
7310;0
7311;1
7312;0
7313;0
7314;1
7315;1
7316;0
7317;0
7318;1
7319;0
7321;0
7322;1
7323;0
7324;0
7325;0
7326;1
7327;1
7328;1
7329;1
7330;1
7331;0
7332;0
7333;0
7334;1
7335;1
7336;1
7337;0
7338;1
7339;0
7340;0
7341;1
7342;0
7343;1
7344;0
7345;0
7346;0
7347;0
7348;1
7349;0
8001;1
8003;0
8004;1
8005;1
8006;1
8008;1
8010;1
8011;0
8013;1
8014;1
8015;1
8016;1
8017;1
8018;1
8019;1
8020;1
8021;1
8022;0
8023;1
8024;1
8025;1
8026;1
8027;1
8028;0
8029;1
8030;1
8031;1
8032;1
8033;1
8034;1
8035;1
8036;1
8037;1
8038;1
8039;1
8040;0
8041;1
8043;0
8044;1
8045;1
8046;1
8047;1
8048;1
8049;1
8052;1
8053;0
8055;1
8056;1
8057;1
8058;0
8059;1
8060;1
8061;1
8062;1
8063;1
8064;1
8065;1
8066;1
8067;1
8069;1
8070;1
8071;1
8073;1
8074;1
8075;1
8076;1
8077;1
8078;1
8080;1
8081;1
8082;1
8083;1
8084;1
8085;1
8086;1
8087;1
8088;1
8089;1
8090;1
8092;1
8094;1
8095;1
8096;0
8097;1
8098;1
8099;1
8100;1
8101;0
8102;1
8103;1
8104;1
8105;0
8106;0
8107;1
8109;1
8110;1
8111;1
8113;1
8115;1
8116;1
8117;1
8119;0
8120;1
8121;1
8122;0
8123;1
8124;1
8125;0
8126;1
8128;1
8130;1
8131;1
8132;1
8133;1
8134;1
8135;1
8136;0
8137;0
8138;1
8139;1
8140;0
8141;1
8142;0
8143;1
8144;1
8145;1
8146;1
8147;1
8148;1
8149;1
8150;1
8151;1
8153;1
8154;1
8155;1
8156;1
8158;0
8159;1
8160;1
8161;1
8162;1
8163;1
8164;1
8165;1
8166;0
8167;1
8168;1
8169;1
8170;0
8171;1
8172;1
8173;0
8174;0
8175;0
8176;1
8178;1
8179;0
8180;0
8182;1
8183;0
8184;1
8185;0
8186;1
8187;0
8188;0
8189;1
8190;0
8191;0
8192;1
8193;1
8194;0
8195;1
8196;1
8197;1
8198;1
8199;0
8200;1
8201;1
8202;1
8203;1
8204;1
8205;1
8206;1
8207;0
8208;1
8209;0
8210;1
8211;1
8212;1
8214;0
8215;1
8216;0
8217;1
8218;1
8219;1
8220;1
8222;0
8223;1
8225;1
8226;0
8228;1
8229;1
8230;0
8232;0
8233;1
8234;1
8235;0
8236;1
8237;1
8238;1
8239;1
8240;1
8242;1
8243;1
8244;1
8245;1
8246;1
8247;0
8248;1
8249;1
8250;1
8251;1
8252;1
8254;1
8255;1
8256;1
8257;1
8259;1
8260;1
8262;1
8263;0
8264;1
8268;1
8269;1
8271;1
8272;1
8273;1
8274;1
8275;1
8276;1
8277;1
8278;1
8279;1
8280;1
8281;1
8282;1
8283;1
8284;1
8286;1
8287;1
8288;1
8289;1
8291;1
8293;1
8294;0
8295;1
8296;1
8297;1
8298;0
8300;1
8301;1
8302;1
8303;1
8304;0
8305;1
8306;1
8307;1
8308;1
8309;1
8310;1
8311;1
8312;1
8313;1
8314;1
8315;1
8316;0
8317;1
8318;1
8319;1
8320;1
8321;1
8322;1
8323;1
8324;1
8325;1
8326;1
8327;0
8328;0
8329;1
8330;1
8331;0
8332;1
8333;1
8334;1
8335;1
8336;1
8338;1
8339;1
8340;1
8341;1
8342;0
8343;0
8344;1
8346;0
8347;1
8348;1
8349;1
8350;1
8351;1
8352;1
8353;0
8354;1
8355;1
8356;1
8357;1
8358;1
8360;1
8361;1
8362;1
8363;0
8364;1
8365;1
8366;1
8367;1
8368;1
8369;1
8370;1
8372;1
8373;1
8374;1
8375;1
8376;1
8377;0
8378;1
8379;1
8380;1
8381;1
8382;1
8383;1
8384;1
8385;0
8386;1
8387;1
8388;1
8389;1
8390;1
8391;0
8392;1
8393;1
8394;1
8395;1
8396;1
8397;1
8398;1
8399;1
8400;0
8401;1
8402;1
8403;1
8404;1
8405;1
8406;1
8407;1
8408;0
8409;0
8410;1
8411;1
8412;1
8413;1
8415;1
8416;1
8417;1
8418;1
8419;1
8420;1
8421;1
8422;1
8424;1
8425;1
8426;1
8427;1
8428;1
8429;1
8430;1
8431;1
8432;1
8433;1
8434;1
8435;1
8436;1
8437;1
8438;1
8439;1
8440;1
8444;1
8445;0
8446;1
8448;1
8449;1
8450;1
8451;1
8452;1
8453;1
8454;1
8455;1
8456;1
8457;0
8458;1
8459;1
8460;1
8461;1
8462;1
8463;1
8464;1
8465;1
8466;1
8467;1
8468;1
8469;1
8470;1
8471;1
8472;1
8473;1
8476;1
8477;1
8478;1
8479;1
8480;0
